ID,Season,Phylum,Class,Order,Family,Genus,TrophicSpecies,FunctionalGroup,TrophicGroup,InIntList,Abundance (ind/m3),Biomass (mg C/m3),BodyMass (g),BodySize (mm),GowthRate (mm/day),Zone,Reference_pres,Reference_pres_link,Reference_traits,Reference_traits_link,Observation
97,NA,NA,NA,NA,NA,NA,Ciliophora,Ciliates,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,NA,,,,NA
98,NA,NA,NA,NA,NA,NA,Ciliates,Ciliates,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,NA,,,,NA
99,Autumn,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,Actinostola_crassicornis,Cnidaria,Benthos,No,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,AMPNBB-II
100,Autumn,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium_antarcticum,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
101,Spring,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia_sp,Cnidaria,Benthos,No,0.61,NA,NA,NA,NA,Meseta,Spinelli_etal_2020,,,,
102,Autumn,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia_macloviana,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
103,Autumn,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Campanularia,Campanularia_sp,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2016; 2020b,,,,
104,Autumn,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne_sp,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
105,Autumn,Cnidaria,Anthozoa,Actiniaria,Preactiniidae,Dactylanthus,Dactylanthus_antarcticus,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
106,Autumn,Cnidaria,Hydrozoa,Leptothecata,Haleciidae,Halecium,Halecium_beanii,Cnidaria,Benthos,Yes,NA,NA,NA,200,NA,Meseta,Schejter_etal_2020b,,,,
107,Autumn,Cnidaria,Hydrozoa,Leptothecata,Haleciidae,Halecium,Halecium_delicatulum,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
108,Autumn,Cnidaria,Hydrozoa,Leptothecata,Hebellidae,Hebella,Hebella_striata,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
109,Autumn,Cnidaria,Hydrozoa,Leptothecata,Tiarannidae,Modeeria,Modeeria_rotunda,Cnidaria,Benthos,Yes,NA,NA,NA,1.75,NA,Meseta,Schejter_etal_2020b,,,,
110,Autumn,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Odelia,Obelia_longissima,Cnidaria,Benthos,Yes,NA,NA,NA,350,NA,Meseta,Schejter_etal_2020b,,,,
111,All,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Odelia,Obelia_sp,Cnidaria,Benthos,Yes,0.7,NA,NA,NA,NA,Meseta,Spinelli_etal_2020,,,,
112,Autumn,Cnidaria,Hydrozoa,Leptothecata,Phialellidae,Phialella,Phialella_chilensis,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
113,Autumn,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia_setacea,Cnidaria,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Schejter_etal_2020b,,,,
